IPO Name,Issue Open Date,Issue Close Date,Listing Date,Listing Exchange,Issue Price (Rs),Listing Price (Rs),Listing Gain (%),GMP ,Retail Subscription,NII Subscription,QIB Subscription,Issue Size (Rs.cr),Revenue (Rs),Profit (Rs),EPS,Promoter Holding (%),Lead Manager,Label,upper_price,lower_price,no_of_shares_cr,Year,IPO_Duration,Price_Band_Width,log_Issue_Size,Sub_Strength,Recommendation
Navkar Corp.Ltd. IPO,2015-08-24,2015-08-26,2015-09-09,"BSE, NSE",155,152.0,-1.94,-3.0,1.62,0.9,6.47,600.0,338.56,73.19,5.48,70.62,Axis Bank,0.0,0,0,0,2015,2,0,6.398594934535208,3.829,Avoid
Power Mech Projects Ltd. IPO,2015-08-07,2015-08-11,2015-08-26,"BSE, NSE",640,600.0,-6.25,-40.0,3.42,133.22,27.53,273.22,1842.27,100.29,36.31,77.67,IIFL Capital,0.0,0,0,0,2015,4,0,5.613930703928509,54.415,Avoid
Syngene International Ltd. IPO,2015-07-27,2015-07-29,2015-08-11,"BSE, NSE",250,295.0,18.0,45.0,4.78,90.24,51.47,550.0,853.51,158.05,8.8,74.65,Axis Bank,0.0,0,0,0,2015,2,0,6.311734809152915,53.763000000000005,Apply
Manpasand Beverages Ltd. IPO,2015-06-24,2015-06-26,2015-07-09,"BSE, NSE",320,291.0,-9.06,-29.0,1.16,0.38,1.98,400.0,556.76,45.19,11.23,56.66,ICICI Securities,0.0,0,0,0,2015,2,0,5.993961427306569,1.336,Avoid
PNC Infratech Ltd. IPO,2015-05-08,2015-05-12,2015-05-26,"BSE, NSE",378,387.0,2.38,9.0,0.28,0.65,4.51,488.44,1489.15,85.57,3.12,62.72,ICICI Securities,0.0,0,0,0,2015,4,0,6.193261880402593,2.506,Neutral
UFO Moviez India Ltd. IPO,2015-04-28,2015-04-30,2015-05-14,"BSE, NSE",625,630.0,0.8,5.0,1.02,1.17,4.49,600.0,479.34,48.81,0,61.46,Axis Bank,0.0,0,0,0,2015,2,0,6.398594934535208,2.8000000000000003,Neutral
MEP Infrastructure Developers Ltd. IPO,2015-04-21,2015-04-23,2015-05-06,"BSE, NSE",63,65.0,3.17,2.0,0.97,1.51,1.02,324.0,1811.23,54.34,1.94,53.72,IDBI Capital Markets,0.0,0,0,0,2015,2,0,5.783825182329737,1.157,Avoid
VRL Logistics Ltd. IPO,2015-04-15,2015-04-17,2015-04-30,"BSE, NSE",205,288.0,40.49,83.0,7.92,250.86,58.22,467.88,1600.27,78.49,9.4,69.8,HSBC Securities,0.0,0,0,0,2015,2,0,6.150346872168174,105.952,Apply
Inox Wind Ltd. IPO,2015-03-18,2015-03-20,2015-04-09,"BSE, NSE",325,400.0,23.08,75.0,2.15,35.38,35.68,0.0,3197.66,321.19,19.33,73.1,Axis Bank,0.0,0,0,0,2015,2,0,0.0,28.884,Apply
Adlabs Entertainment Ltd. IPO,2015-03-10,2015-03-12,2015-04-06,"BSE, NSE",180,215.0,19.44,35.0,1.3,0.69,1.17,374.59,150.81,-77.42,Negative,53.54,Centrum Capital,0.0,0,0,0,2015,2,0,5.928498122911523,1.052,Apply
Ortel Communications Ltd. IPO,2015-03-03,2015-03-05,2015-03-19,"BSE, NSE",181,160.0,-11.6,-21.0,0.39,0.09,1.0,173.65,185.06,11.02,1.83,62,Kotak Mahindra Capital,0.0,0,0,0,2015,2,0,5.162783971252841,0.605,Avoid
Laurus Labs Ltd. IPO,2016-12-06,2016-12-08,2016-12-19,"BSE, NSE",428,489.0,14.25,61.0,1.58,3.57,10.54,0.0,"1,784.00",133.00,13.40,30.60,Citigroup Global,0.0,0,0,0,2016,2,0,0.0,6.656999999999999,Apply
Sheela Foam Ltd. IPO,2016-11-29,2016-12-01,2016-12-09,"BSE, NSE",730,840.0,15.07,110.0,0.44,3.35,14.51,510.0,"1,555.00",161.00,18.33,51.09,Edelweiss Financial,0.0,0,0,0,2016,2,0,6.236369590203704,8.347999999999999,Apply
Varun Beverages Ltd. IPO,2016-10-26,2016-10-28,2016-11-08,"BSE, NSE",445,445.0,0.0,0.0,0.82,0.42,4.94,0.0,"3,371.74",92.67,5.39,70.81,Axis Capital,0.0,0,0,0,2016,2,0,0.0,2.76,Avoid
PNB Housing Finance Ltd. IPO,2016-10-25,2016-10-27,2016-11-07,"BSE, NSE",775,860.0,10.97,85.0,1.32,86.17,37.33,0.0,"2,697.00",326.00,21.57,38.31,BOFA Securities,0.0,0,0,0,2016,2,0,0.0,44.78,Apply
Endurance Technologies Ltd. IPO,2016-10-05,2016-10-07,2016-10-19,"BSE, NSE",472,1200.0,154.24,728.0,2.69,127.07,53.43,0.0,"4,849.00",291.00,20.73,74.55,Axis Capital,0.0,0,0,0,2016,2,0,0.0,65.374,Apply
HPL Electric & Power Ltd. IPO,2016-09-22,2016-09-26,2016-10-04,"BSE, NSE",202,190.0,-5.94,-12.0,3.31,22.2,5.77,361.0,"1,114.00",46.00,10.03,40.52,ICICI Securities,0.0,0,0,0,2016,4,0,5.891644211825772,10.207,Avoid
ICICI Prudential Life Insurance Co.Ltd. IPO,2016-09-19,2016-09-21,2016-09-29,"BSE, NSE",334,330.0,-1.2,-4.0,1.42,28.55,11.83,0.0,"20,314.00","1,653.00",11.54,67.58,BOFA Securities,0.0,0,0,0,2016,2,0,0.0,14.764,Avoid
GNA Axles Ltd. IPO,2016-09-14,2016-09-16,2016-09-26,"BSE, NSE",207,262.5,26.81,55.5,11.84,217.47,17.18,130.41,505.47,30.07,14.16,57.77,Ambit,0.0,0,0,0,2016,2,0,4.878322206655547,76.199,Apply
L&T Technology Services Ltd. IPO,2016-09-12,2016-09-15,2016-09-23,"BSE, NSE",860,920.0,6.98,60.0,1.74,1.03,5.01,894.4,"3,267.80",477.30,47.34,83.43,BOFA Securities,0.0,0,0,0,2016,3,0,6.797270545806865,3.162,Neutral
RBL Bank Ltd. IPO,2016-08-19,2016-08-23,2016-08-31,"BSE, NSE",225,274.0,21.78,49.0,5.7,198.06,85.08,0.0,"3,234.80",292.00,7.73,0.00,Axis Bank,0.0,0,0,0,2016,4,0,0.0,103.098,Apply
S.P.Apparels Ltd. IPO,2016-08-02,2016-08-04,2016-08-12,"BSE, NSE",268,265.0,-1.12,-3.0,1.9,5.1,2.21,239.12,548.00,32.00,14.16,62.64,Centrum Capital,0.0,0,0,0,2016,2,0,5.481138798383642,3.015,Avoid
Dilip Buildcon Ltd. IPO,2016-08-01,2016-08-03,2016-08-11,"BSE, NSE",219,214.9,-1.87,-4.09999999999999,2.35,79.64,9.76,653.98,"4,385.74",268.32,33.62,75.00,Axis Capital,0.0,0,0,0,2016,2,0,6.484604700817924,29.242,Avoid
Advanced Enzyme Technologies Ltd. IPO,2016-07-20,2016-07-22,2016-08-01,"BSE, NSE",896,841.0,-6.14,-55.0,11.67,393.1,94.03,411.49,278.41,78.00,7.47,43.95,Axis Capital,0.0,0,0,0,2016,2,0,6.022211963056641,167.279,Avoid
Larsen & Toubro Infotech Ltd. IPO (L&T Infotech IPO),2016-07-11,2016-07-13,2016-07-21,"BSE, NSE",710,710.0,0.0,0.0,7.39,10.76,19.91,0.0,"5,851.80",923.60,54.88,84.66,Citigroup Global,0.0,0,0,0,2016,2,0,0.0,14.661,Avoid
Quess Corp Ltd. IPO,2016-06-29,2016-07-01,2016-07-12,"BSE, NSE",317,499.0,57.41,182.0,31.23,392.21,59.02,400.0,"3,442.50",105.50,13.88,74.88,Axis Capital,0.0,0,0,0,2016,2,0,5.993961427306569,153.41899999999998,Apply
Mahanagar Gas Ltd. IPO,2016-06-21,2016-06-23,2016-07-01,"BSE, NSE",421,520.0,23.52,99.0,6.82,191.61,72.84,0.0,"2,126.00",306.40,31.02,32.50,Citigroup Global,0.0,0,0,0,2016,2,0,0.0,95.267,Apply
Parag Milk Foods Ltd. IPO,2016-05-04,2016-05-11,2016-05-19,"BSE, NSE",215,215.0,0.0,0.0,2.12,3.08,1.15,750.54,"1,407.95",65.80,6.97,46.61,Dam Capital,0.0,0,0,0,2016,7,0,6.622124434656104,1.923,Avoid
Ujjivan Financial Services Ltd. IPO,2016-04-28,2016-05-02,2016-05-10,"BSE, NSE",210,231.7,10.33,21.7,4.02,135.45,33.84,882.5,"1,057.00",207.90,20.06,44.59,Axis Capital,0.0,0,0,0,2016,4,0,6.783891291759751,58.359,Apply
Thyrocare Technologies Ltd. IPO,2016-04-27,2016-04-29,2016-05-09,"BSE, NSE",446,660.0,47.98,214.0,8.73,225.3,73.18,479.21,250.00,51.20,8.77,65.25,Edelweiss Financial,0.0,0,0,0,2016,2,0,6.174223508226715,105.926,Apply
Equitas Holdings Ltd. IPO,2016-04-05,2016-04-07,2016-04-21,"BSE, NSE",110,145.0,31.82,35.0,1.4,57.29,14.93,0.0,"1,110.93",106.33,3.17,2.50,Axis Bank,0.0,0,0,0,2016,2,0,0.0,24.932,Apply
Infibeam Incorporation Ltd. IPO,2016-03-21,2016-03-23,2016-04-04,"BSE, NSE",432,43.2,-90.0,-388.8,1.31,2.23,0.86,450.0,288.75,31.39,3.59,40.64,Elara Capital,0.0,0,0,0,2016,2,0,6.111467339502679,1.361,Avoid
Bharat Wire Ropes Ltd. IPO,2016-03-18,2016-03-22,2016-04-01,"BSE, NSE",45,48.5,7.78,3.5,2.08,2.02,1.01,70.0,476.99,30.22,12.33,46.20,BOB Capital Markets,0.0,0,0,0,2016,4,0,4.262679877041316,1.527,Avoid
Healthcare Global Enterprises Ltd. IPO,2016-03-16,2016-03-18,2016-03-30,"BSE, NSE",218,210.0,-3.67,-8.0,0.83,0.43,2.36,649.64,599.93,-10.82,Negative,44.82,Edelweiss Financial,0.0,0,0,0,2016,2,0,6.47795649385852,1.475,Avoid
Quick Heal Technologies Ltd. IPO,2016-02-08,2016-02-10,2016-02-18,"BSE, NSE",321,310.0,-3.43,-11.0,3.82,36.69,4.34,451.25,298.67,65.73,12.56,83.20,ICICI Securities,0.0,0,0,0,2016,2,0,6.114235124275405,13.941,Avoid
TeamLease Services Ltd. IPO,2016-02-02,2016-02-04,2016-02-12,"BSE, NSE",850,905.0,6.47,55.0,10.61,185.24,26.97,423.68,"2,000.75",35.00,20.69,33.70,Credit Suisse Securities,0.0,0,0,0,2016,2,0,6.0513359441453725,71.179,Apply
Precision Camshafts Ltd. IPO,2016-01-27,2016-01-29,2016-02-08,"BSE, NSE",186,185.0,-0.54,-1.0,2.01,0.73,2.62,410.19,544.11,48.24,5.16,58.11,HDFC Bank,0.0,0,0,0,2016,2,0,6.019055394779095,1.931,Avoid
Astron Paper & Board Mill Ltd. IPO,2017-12-15,2017-12-20,2017-12-29,"BSE, NSE",50,114.0,128.0,64.0,73.32,396.99,103.35,69.83,373.91,27.64,10.64,33.43,Pantomath Capital,0.0,0,0,0,2017,5,0,4.260282639765531,185.436,Apply
Future Supply Chain Solutions Ltd. IPO,2017-12-06,2017-12-08,2017-12-18,"BSE, NSE",664,664.0,0.0,0.0,3.28,11.15,12.36,649.7,661.34,44.75,11.45,56.62,IDFC Bank,0.0,0,0,0,2017,2,0,6.478048706500939,10.181,Avoid
Shalby Ltd. IPO,2017-12-05,2017-12-07,2017-12-15,"BSE, NSE",248,248.0,0.0,0.0,2.98,0.42,4.34,504.8,371.36,60.15,6.05,88.08,Edelweiss Financial,0.0,0,0,0,2017,2,0,6.226141334235865,2.892,Avoid
HDFC Standard Life Insurance Co.Ltd. IPO,2017-11-07,2017-11-09,2017-11-17,"BSE, NSE",290,317.0,9.31,27.0,0.91,2.29,16.6,0.0,19438.35,877.01,4.44,75.3,CLSA,0.0,0,0,0,2017,2,0,0.0,9.169,Neutral
Khadim India Ltd. IPO,2017-11-02,2017-11-06,2017-11-14,"BSE, NSE",750,750.0,0.0,0.0,2.34,0.18,2.45,543.06,622.11,37,9.38,78.43,Axis Bank,0.0,0,0,0,2017,4,0,6.299059534891641,1.747,Avoid
"New India Assurance Co.Ltd.,The IPO",2017-11-01,2017-11-03,2017-11-13,"BSE, NSE",800,800.0,0.0,0.0,0.11,0.11,2.34,0.0,25273.65,1942.5,6.52,85.44,Axis Bank,0.0,0,0,0,2017,2,0,0.0,1.225,Avoid
Mahindra Logistics Ltd. IPO,2017-10-31,2017-11-02,2017-11-10,"BSE, NSE",429,432.0,0.7,3.0,6.1,2.07,15.6,828.88,2752.54,47.38,6.2,70.78,Axis Bank,0.0,0,0,0,2017,2,0,6.721281112024939,9.641,Neutral
Reliance Nippon Life Asset Management Ltd. IPO,2017-10-25,2017-10-27,2017-11-06,"BSE, NSE",252,259.0,2.78,7.0,5.65,209.44,118.4,0.0,1581.56,398.24,6.5,86.84,Axis Capital,0.0,0,0,0,2017,2,0,0.0,123.162,Apply
General Insurance Corp.of India IPO (GIC IPO),2017-10-11,2017-10-13,2017-10-25,"BSE, NSE",912,850.0,-6.8,-62.0,0.63,0.22,2.25,0.0,27872.41,3124.96,17.61,85.8,Axis Capital,0.0,0,0,0,2017,2,0,0.0,1.3170000000000002,Avoid
Indian Energy Exchange Ltd. IPO,2017-10-09,2017-10-11,2017-10-23,"BSE, NSE",1650,1650.0,0.0,0.0,2.61,0.85,2.56,0.0,227.18,134.4,12.56,0,Axis Bank,0.0,0,0,0,2017,2,0,0.0,2.0570000000000004,Avoid
MAS Financial Services Ltd. IPO,2017-10-06,2017-10-10,2017-10-18,"BSE, NSE",459,471.0,2.61,12.0,15.97,378.53,148.33,460.04,365.25,68.91,13.6,77.29,Motilal Oswal Investment,0.0,0,0,0,2017,4,0,6.133484807128411,190.918,Apply
Godrej Agrovet Ltd. IPO,2017-10-04,2017-10-06,2017-10-16,"BSE, NSE",460,621.0,35.0,161.0,7.16,236.04,150.96,0.0,4960.98,265.86,14.92,65.5,Axis Capital,0.0,0,0,0,2017,2,0,0.0,147.724,Apply
Prataap Snacks Ltd. IPO,2017-09-22,2017-09-26,2017-10-05,"BSE, NSE",938,1325.0,41.26,387.0,8.48,101.15,76.89,481.6,932.9,25.12,13.84,52.88,Edelweiss Financial,0.0,0,0,0,2017,4,0,6.179188153190932,70.48599999999999,Apply
SBI Life Insurance Co.Ltd. IPO,2017-09-20,2017-09-22,2017-10-03,"BSE, NSE",700,733.3,4.76,33.3,0.81,0.7,12.56,0.0,32863.07,954.67,9.55,70.1,Axis Capital,0.0,0,0,0,2017,2,0,0.0,6.652,Neutral
ICICI Lombard General Insurance Co.Ltd. IPO,2017-09-15,2017-09-19,2017-09-27,"BSE, NSE",661,661.0,0.0,0.0,1.23,0.83,8.17,0.0,7180,642,14.28,86.5,CLSA,0.0,0,0,0,2017,4,0,0.0,4.58,Avoid
Capacit'e Infraprojects Ltd. IPO,2017-09-13,2017-09-15,2017-09-25,"BSE, NSE",250,399.0,59.6,149.0,17.57,638.05,131.32,400.0,1643.34,74.06,14.99,59.88,Axis Capital,0.0,0,0,0,2017,2,0,5.993961427306569,260.589,Apply
Matrimony.com Ltd. IPO,2017-09-11,2017-09-13,2017-09-21,"BSE, NSE",985,985.0,0.0,0.0,18.16,0.41,1.88,496.88,292,43.5,18.17,58.11,Axis Capital,0.0,0,0,0,2017,2,0,6.210359084132777,4.695,Avoid
Dixon Technologies (India) Ltd. IPO,2017-09-06,2017-09-08,2017-09-18,"BSE, NSE",1766,2760.0,56.29,994.0,5.69,1.63,1.33,599.28,1691.01,45.42,48.85,53.68,IDFC Bank,0.0,0,0,0,2017,2,0,6.397396213027789,2.292,Apply
Bharat Road Network Ltd. IPO,2017-09-06,2017-09-08,2017-09-18,"BSE, NSE",205,210.0,2.44,5.0,10.6,345.61,134.66,600.65,130.4,-152.82,Negative,60.12,Investec Capital,0.0,0,0,0,2017,2,0,6.399675880884171,173.133,Apply
Apex Frozen Foods Ltd. IPO,2017-08-22,2017-08-24,2017-09-04,"BSE, NSE",175,185.0,5.71,10.0,8.53,7.82,1.91,152.25,730,49.37,13.04,74.88,Karvy Investor Services,0.0,0,0,0,2017,2,0,5.032070574816321,5.007,Neutral
Cochin Shipyard Ltd. IPO,2017-08-01,2017-08-03,2017-08-11,"BSE, NSE",432,490.0,13.43,58.0,8.51,288.87,63.51,0.0,2128.53,311.08,24.51,75,Edelweiss Financial,0.0,0,0,0,2017,2,0,0.0,120.118,Apply
Security & Intelligence Services (India) Ltd. IPO (SIS IPO),2017-07-31,2017-08-02,2017-08-10,"BSE, NSE",815,875.0,7.36,60.0,19.51,1.66,5.64,779.58,4582.52,148.8,15.54,69.34,Axis Capital,0.0,0,0,0,2017,2,0,6.660037233101347,7.220000000000001,Neutral
Salasar Techno Engineering Ltd. IPO,2017-07-12,2017-07-17,2017-07-25,"BSE, NSE",108,250.0,131.48,142.0,58.92,478.39,0.0,35.95,290,24.5,6.48,64.9,Sarthi Capital,0.0,0,0,0,2017,5,0,3.609565647394211,155.301,Apply
AU Small Finance Bank Ltd. IPO,2017-06-28,2017-06-30,2017-07-10,"BSE, NSE",358,375.0,4.75,17.0,3.52,143.51,78.77,0.0,1363.88,277.12,10.6,31.97,Citigroup Global,0.0,0,0,0,2017,2,0,0.0,83.14199999999998,Apply
GTPL Hathway Ltd. IPO,2017-06-21,2017-06-23,2017-07-04,"BSE, NSE",170,100.0,-41.18,-70.0,0.99,2.85,1.48,484.8,1324.96,45.09,5.53,75.33,BNP Paribas,0.0,0,0,0,2017,2,0,6.185797016568072,1.793,Avoid
Central Depository Services (India) Ltd. IPO (CDSL IPO),2017-06-19,2017-06-21,2017-06-30,NSE,149,295.0,97.99,146.0,23.83,563.03,148.71,523.99,185.08,85.5,7.86,24,Axis Capital,0.0,0,0,0,2017,2,0,6.263379214791168,248.03,Apply
Eris Lifesciences Ltd. IPO,2017-06-16,2017-06-20,2017-06-29,"BSE, NSE",603,601.0,-0.33,-2.0,3.51,0.45,4.68,0.0,838,212,18.66,58.42,Axis Capital,0.0,0,0,0,2017,4,0,0.0,3.177,Avoid
Tejas Networks Ltd. IPO,2017-06-14,2017-06-16,2017-06-27,"BSE, NSE",257,262.0,1.95,5.0,3.1,0.48,2.16,776.69,819,108,13.5,33.19,Axis Capital,0.0,0,0,0,2017,2,0,6.656327987189528,1.844,Avoid
PSP Projects Ltd. IPO,2017-05-17,2017-05-19,2017-05-29,"BSE, NSE",210,250.0,19.05,40.0,6.47,10.39,8.38,211.68,480.93,30.29,14.65,74.84,Karvy Investor Services,0.0,0,0,0,2017,2,0,5.359788688636137,8.601,Apply
Housing & Urban Development Corp.Ltd. IPO (HUDCO IPO),2017-05-08,2017-05-11,2017-05-19,"BSE, NSE",60,73.4,22.33,13.4,10.79,330.36,55.45,0.0,3350.08,810.61,3.88,89.81,ICICI Securities,0.0,0,0,0,2017,3,0,0.0,128.991,Apply
S.Chand & Co.Ltd. IPO,2017-04-26,2017-04-28,2017-05-09,"BSE, NSE",670,670.0,0.0,0.0,6.07,204.65,44.27,728.56,1130,197.8,3.5,70.97,Axis Bank,0.0,0,0,0,2017,2,0,6.592441612695797,84.744,Avoid
Shankara Building Products Ltd. IPO,2017-03-22,2017-03-24,2017-04-05,"BSE, NSE",460,548.0,19.13,88.0,15.35,90.68,51.62,345.0,2330,50,27.31,53.66,Equirus Capital,0.0,0,0,0,2017,2,0,5.846438775057725,56.084,Apply
CL Educate Ltd. IPO,2017-03-20,2017-03-22,2017-03-31,"BSE, NSE",502,505.0,0.6,3.0,1.63,0.21,3.65,238.95,299,23.32,8.05,48.06,Kotak Mahindra Capital,0.0,0,0,0,2017,2,0,5.480430568304255,2.214,Neutral
Avenue Supermarts Ltd. IPO,2017-03-08,2017-03-10,2017-03-21,"BSE, NSE",299,604.4,102.14,305.4,7.3,277.74,144.61,0.0,10009.68,387.49,6.97,82.2,Axis Capital,0.0,0,0,0,2017,2,0,0.0,157.08700000000002,Apply
Music Broadcast Ltd. IPO,2017-03-06,2017-03-08,2017-03-17,"BSE, NSE",333,345.0,3.6,12.0,9.85,109.13,39.78,488.53,279.8,33.3,5.9,75,ICICI Securities,0.0,0,0,0,2017,2,0,6.193445747120171,54.599,Apply
BSE Ltd. IPO,2017-01-23,2017-01-25,2017-02-03,NSE,806,1085.0,34.62,279.0,6.48,159.03,48.64,0.0,622.14,248.98,24.72,0,Axis Capital,0.0,0,0,0,2017,2,0,0.0,73.325,Apply
Garden Reach Shipbuilders & Engineers Ltd. IPO,2018-09-24,2018-10-01,2018-10-10,"BSE, NSE",118,103.2,-12.54,-14.8,0.24,0.31,1.81,343.59,1308.2,124.6,10.95,74.5,IDBI Capital Markets,0.0,0,0,0,2018,7,0,5.842355304520125,1.046,Avoid
IRCON International Ltd. IPO,2018-09-17,2018-09-19,2018-09-28,"BSE, NSE",475,430.0,-9.47,-45.0,9.66,4.92,12.29,466.93,3809.8,398.3,8.07,89.73,Axis Capital,0.0,0,0,0,2018,2,0,6.14831871208097,9.553,Avoid
CreditAccess Grameen Ltd. IPO,2018-08-08,2018-08-10,2018-08-23,"BSE, NSE",422,408.0,-3.32,-14.0,0.87,0.98,5.52,0.0,848,123.6,11,73.3,Credit Suisse Securities,0.0,0,0,0,2018,2,0,0.0,3.228,Avoid
HDFC Asset Management Co.Ltd. IPO (HDFC AMC IPO),2018-07-25,2018-07-27,2018-08-06,"BSE, NSE",1100,1739.0,58.09,639.0,6.57,195.15,192.26,0.0,1768.9,721.4,34,74.96,Axis Capital,0.0,0,0,0,2018,2,0,0.0,155.989,Apply
TCNS Clothing Co.Ltd. IPO,2018-07-18,2018-07-20,2018-07-30,"BSE, NSE",716,700.0,-2.23,-16.0,0.57,5.08,13.47,0.0,880,107.7,16.7,33.6,Citigroup Global,0.0,0,0,0,2018,2,0,0.0,8.373000000000001,Avoid
Varroc Engineering Ltd. IPO,2018-06-26,2018-06-28,2018-07-06,"BSE, NSE",967,967.0,0.0,0.0,0.84,2.45,9.15,0.0,11940.6,399.7,29.5,74.58,Citigroup Global,0.0,0,0,0,2018,2,0,0.0,5.478000000000001,Avoid
Fine Organic Industries Ltd. IPO,2018-06-20,2018-06-22,2018-07-02,"BSE, NSE",783,828.0,5.75,45.0,14.24,194.56,71.71,600.17,730.8,72.5,23.63,75,Edelweiss Financial,0.0,0,0,0,2018,2,0,6.398877756434162,97.07099999999998,Apply
RITES Ltd. IPO,2018-06-20,2018-06-22,2018-07-02,"BSE, NSE",185,190.0,2.7,5.0,1.19,21.0,12.85,460.51,1691,355.7,14.23,87.4,Elara Capital,0.0,0,0,0,2018,2,0,6.134503722180521,12.963,Neutral
IndoStar Capital Finance Ltd. IPO,2018-05-09,2018-05-11,2018-05-21,"BSE, NSE",572,572.0,0.0,0.0,1.17,6.91,16.08,0.0,1114.7,264.9,24.7,60,JM Financial,0.0,0,0,0,2018,2,0,0.0,10.347,Avoid
Lemon Tree Hotels Ltd. IPO,2018-03-26,2018-03-28,2018-04-09,"BSE, NSE",56,51.0,-8.93,-5.0,0.12,0.12,3.88,0.0,498.8,-36.6,Negative,39.52,CLSA,0.0,0,0,0,2018,2,0,0.0,2.0,Avoid
ICICI Securities Ltd. IPO,2018-03-22,2018-03-26,2018-04-04,"BSE, NSE",520,435.0,-16.35,-85.0,0.89,0.36,1.04,0.0,1757.2,447.8,14.12,79.31,BOFA Securities,0.0,0,0,0,2018,4,0,0.0,0.806,Avoid
Mishra Dhatu Nigam Ltd. IPO,2018-03-21,2018-03-23,2018-04-04,"BSE, NSE",90,95.0,5.56,5.0,0.72,0.13,1.96,435.02,643,111.4,5.96,74,IDBI Capital Markets,0.0,0,0,0,2018,2,0,6.0776881138566,1.1629999999999998,Avoid
Sandhar Technologies Ltd. IPO,2018-03-19,2018-03-21,2018-04-02,"BSE, NSE",332,344.0,3.61,12.0,1.31,6.39,14.5,512.48,1970,80.2,12.3,46.4,Axis Capital,0.0,0,0,0,2018,2,0,6.2412110802167255,9.429,Neutral
Karda Constructions Ltd. IPO,2018-03-16,2018-03-21,2018-04-02,"BSE, NSE",180,180.0,0.0,0.0,2.01,3.44,1.55,77.4,72.2,11.5,3.58,71.95,Aryaman Financial,0.0,0,0,0,2018,5,0,4.361823927356363,2.209,Avoid
Hindustan Aeronautics Ltd. IPO,2018-03-16,2018-03-20,2018-03-28,"BSE, NSE",1215,1175.0,-3.29,-40.0,0.39,0.03,1.73,0.0,17411,2070.3,61.3,89.97,Axis Capital,0.0,0,0,0,2018,4,0,0.0,0.952,Avoid
Bandhan Bank Ltd. IPO,2018-03-15,2018-03-19,2018-03-27,"BSE, NSE",375,485.0,29.33,110.0,1.06,13.89,38.68,0.0,4320.3,1348.6,11.84,82.28,Axis Bank,0.0,0,0,0,2018,4,0,0.0,23.719,Apply
